province_code,province,lon,lat
110000,北京市,116.65024756258043,40.23676792355463
120000,天津市,117.31124032599732,39.402077038781215
130000,河北省,115.68838354796952,39.385583127701274
140000,山西省,112.41286833368883,37.668370543038485
150000,内蒙古自治区,118.33931958714815,45.05965218080146
210000,辽宁省,122.43910864917879,41.10607728786585
220000,吉林省,126.65498262461597,43.29768194324657
230000,黑龙江省,127.81845904823268,48.29895552915528
310000,上海市,121.4794463441566,31.07822433466684
320000,江苏省,119.59159668320372,32.98747711683238
330000,浙江省,119.95430387239344,29.205600890759573
340000,安徽省,117.16149147723674,32.05040906125359
350000,福建省,118.05737535507586,25.96375749935396
360000,江西省,115.3198456456757,27.312782293250805
370000,山东省,117.77907208642854,36.31980676721949
410000,河南省,113.1195557598666,33.98660149754094
420000,湖北省,113.02358715351315,31.02725185340827
430000,湖南省,111.56804509556339,27.366981314082988
440000,广东省,112.5213408803632,22.830435829017397
450000,广西壮族自治区,108.87100738444089,23.952291441815635
460000,海南省,110.32,20.04
500000,重庆市,107.89130268721456,30.21763163404033
510000,四川省,102.31370987381084,30.24128438887074
520000,贵州省,106.63785135830081,26.92576095488678
530000,云南省,101.18762566273683,25.257784364498768
540000,西藏自治区,88.32954387895425,31.531304701098403
610000,陕西省,109.56477817599747,35.68096111431167
620000,甘肃省,102.63848004446864,37.78520796732282
630000,青海省,96.21671745003113,35.51959155639235
640000,宁夏回族自治区,105.97039839999243,37.3202001330278
650000,新疆维吾尔自治区,86.07919817161586,42.16936889515363
