province,city,year,production_wan_ton
浙江省,杭州市,2011,97.81
浙江省,杭州市,2012,96.88
浙江省,杭州市,2013,95.92
浙江省,杭州市,2014,62.54
浙江省,杭州市,2015,63.38
浙江省,杭州市,2016,63.60
浙江省,杭州市,2017,47.26
浙江省,杭州市,2018,49.60
浙江省,杭州市,2019,49.64
浙江省,杭州市,2020,50.86
浙江省,杭州市,2021,53.00
浙江省,杭州市,2022,53.01
浙江省,杭州市,2023,55.19
浙江省,杭州市,2024,57.68
浙江省,宁波市,2011,90.14
浙江省,宁波市,2012,86.57
浙江省,宁波市,2013,81.25
浙江省,宁波市,2014,74.15
浙江省,宁波市,2015,79.05
浙江省,宁波市,2016,80.45
浙江省,宁波市,2017,63.70
浙江省,宁波市,2018,66.59
浙江省,宁波市,2019,66.33
浙江省,宁波市,2020,67.44
浙江省,宁波市,2021,67.79
浙江省,宁波市,2022,71.60
浙江省,宁波市,2023,75.03
浙江省,宁波市,2024,76.59
浙江省,温州市,2011,93.10
浙江省,温州市,2012,92.71
浙江省,温州市,2013,83.06
浙江省,温州市,2014,75.98
浙江省,温州市,2015,75.97
浙江省,温州市,2016,75.95
浙江省,温州市,2017,63.88
浙江省,温州市,2018,64.95
浙江省,温州市,2019,63.68
浙江省,温州市,2020,65.64
浙江省,温州市,2021,68.45
浙江省,温州市,2022,68.99
浙江省,温州市,2023,69.89
浙江省,温州市,2024,70.58
浙江省,嘉兴市,2011,135.38
浙江省,嘉兴市,2012,138.43
浙江省,嘉兴市,2013,138.83
浙江省,嘉兴市,2014,122.34
浙江省,嘉兴市,2015,122.14
浙江省,嘉兴市,2016,116.97
浙江省,嘉兴市,2017,92.76
浙江省,嘉兴市,2018,93.42
浙江省,嘉兴市,2019,95.68
浙江省,嘉兴市,2020,97.52
浙江省,嘉兴市,2021,97.79
浙江省,嘉兴市,2022,98.19
浙江省,嘉兴市,2023,100.28
浙江省,嘉兴市,2024,100.65
浙江省,湖州市,2011,90.29
浙江省,湖州市,2012,89.94
浙江省,湖州市,2013,90.55
浙江省,湖州市,2014,73.75
浙江省,湖州市,2015,66.95
浙江省,湖州市,2016,62.97
浙江省,湖州市,2017,48.50
浙江省,湖州市,2018,51.82
浙江省,湖州市,2019,51.90
浙江省,湖州市,2020,52.51
浙江省,湖州市,2021,52.74
浙江省,湖州市,2022,52.98
浙江省,湖州市,2023,53.66
浙江省,湖州市,2024,55.07
浙江省,绍兴市,2011,118.31
浙江省,绍兴市,2012,120.06
浙江省,绍兴市,2013,120.68
浙江省,绍兴市,2014,97.76
浙江省,绍兴市,2015,95.02
浙江省,绍兴市,2016,95.48
浙江省,绍兴市,2017,75.12
浙江省,绍兴市,2018,77.58
浙江省,绍兴市,2019,78.28
浙江省,绍兴市,2020,78.99
浙江省,绍兴市,2021,79.29
浙江省,绍兴市,2022,71.71
浙江省,绍兴市,2023,75.32
浙江省,绍兴市,2024,76.33
浙江省,金华市,2011,89.09
浙江省,金华市,2012,89.78
浙江省,金华市,2013,88.30
浙江省,金华市,2014,60.71
浙江省,金华市,2015,60.33
浙江省,金华市,2016,60.43
浙江省,金华市,2017,46.42
浙江省,金华市,2018,45.49
浙江省,金华市,2019,43.50
浙江省,金华市,2020,45.20
浙江省,金华市,2021,45.82
浙江省,金华市,2022,48.01
浙江省,金华市,2023,48.49
浙江省,金华市,2024,50.20
浙江省,衢州市,2011,79.36
浙江省,衢州市,2012,79.69
浙江省,衢州市,2013,79.92
浙江省,衢州市,2014,70.68
浙江省,衢州市,2015,70.35
浙江省,衢州市,2016,71.03
浙江省,衢州市,2017,56.06
浙江省,衢州市,2018,57.28
浙江省,衢州市,2019,54.04
浙江省,衢州市,2020,55.09
浙江省,衢州市,2021,55.37
浙江省,衢州市,2022,55.60
浙江省,衢州市,2023,56.60
浙江省,衢州市,2024,56.99
浙江省,舟山市,2011,5.06
浙江省,舟山市,2012,5.22
浙江省,舟山市,2013,5.14
浙江省,舟山市,2014,2.68
浙江省,舟山市,2015,3.20
浙江省,舟山市,2016,3.60
浙江省,舟山市,2017,2.55
浙江省,舟山市,2018,2.48
浙江省,舟山市,2019,2.65
浙江省,舟山市,2020,2.87
浙江省,舟山市,2021,2.86
浙江省,舟山市,2022,2.92
浙江省,舟山市,2023,3.35
浙江省,舟山市,2024,3.45
浙江省,台州市,2011,78.93
浙江省,台州市,2012,79.19
浙江省,台州市,2013,79.91
浙江省,台州市,2014,60.22
浙江省,台州市,2015,60.75
浙江省,台州市,2016,63.07
浙江省,台州市,2017,49.84
浙江省,台州市,2018,51.08
浙江省,台州市,2019,50.25
浙江省,台州市,2020,52.09
浙江省,台州市,2021,56.00
浙江省,台州市,2022,56.67
浙江省,台州市,2023,57.59
浙江省,台州市,2024,58.74
浙江省,丽水市,2011,52.90
浙江省,丽水市,2012,52.37
浙江省,丽水市,2013,52.28
浙江省,丽水市,2014,49.37
浙江省,丽水市,2015,47.80
浙江省,丽水市,2016,45.86
浙江省,丽水市,2017,34.03
浙江省,丽水市,2018,35.85
浙江省,丽水市,2019,36.20
浙江省,丽水市,2020,37.50
浙江省,丽水市,2021,41.77
浙江省,丽水市,2022,41.31
浙江省,丽水市,2023,43.39
浙江省,丽水市,2024,43.93
