model,cv_type,fold,n_train,n_test,r2,rmse_log,notes
XGBoost,leave_province_out,安徽,702,208,0.2295,0.7673,n_cities=16
XGBoost,leave_province_out,江苏,741,169,0.4401,0.5737,n_cities=13
XGBoost,leave_province_out,河北,767,143,-0.2742,0.7265,n_cities=11
XGBoost,leave_province_out,河南,689,221,-0.0874,0.718,n_cities=17
XGBoost,leave_province_out,湖北,741,169,0.0787,0.7305,n_cities=13
XGBoost,random_kfold,fold_1,728,182,0.7992,0.3608,identity_leakage_intentional
XGBoost,random_kfold,fold_2,728,182,0.8198,0.3319,identity_leakage_intentional
XGBoost,random_kfold,fold_3,728,182,0.791,0.3565,identity_leakage_intentional
XGBoost,random_kfold,fold_4,728,182,0.7177,0.3961,identity_leakage_intentional
XGBoost,random_kfold,fold_5,728,182,0.7402,0.4451,identity_leakage_intentional
Attention-LSTM,leave_province_out,安徽,702,208,0.3079,0.7272,n_cities=16
Attention-LSTM,leave_province_out,江苏,741,169,-0.4961,0.9378,n_cities=13
Attention-LSTM,leave_province_out,河北,767,143,-6.8008,1.7976,n_cities=11
Attention-LSTM,leave_province_out,河南,689,221,-4.0175,1.5424,n_cities=17
Attention-LSTM,leave_province_out,湖北,741,169,-0.3598,0.8875,n_cities=13
Attention-LSTM,random_kfold,fold_1,728,182,0.6263,0.4922,identity_leakage_intentional
Attention-LSTM,random_kfold,fold_2,728,182,0.6463,0.465,identity_leakage_intentional
Attention-LSTM,random_kfold,fold_3,728,182,0.6158,0.4833,identity_leakage_intentional
Attention-LSTM,random_kfold,fold_4,728,182,0.4815,0.5368,identity_leakage_intentional
Attention-LSTM,random_kfold,fold_5,728,182,0.6216,0.5372,identity_leakage_intentional
